[Dimension] Attribute,2010,2011,2012,2013,2014,2015,2016
"[Education] Gross enrolment ratio, secondary (% of secondary school-age population)",0.1208122240696283,0.36070867398332135,0.19687972998869327,0.18624893488038094,0.20047824977867876,0.33141574578075333,0.16903600906283475
"[Education] Gross enrolment ratio, tertiary (% of tertiary school-age population)",0.23450383082693366,0.21633432386302798,0.24261290137781136,0.17499797174171192,0.1705320267868061,0.13016095134174183,0.22404316200001467
"[Education] Literacy rate, adult (% ages 15 and older)",0.29904385601918926,0.42858762069068396,0.1756326358984957,0.27567009048487695,0.20702290523295974,0.2987976208787314,0.3914640017337894
[Education] Mean years of schooling (years),0.9750073641282218,0.9694161886587,0.8541368689438051,0.9464844861913729,0.5749747017298987,0.6830369677957804,0.5954950277239276
"[Education] Mean years of schooling, female (years)",0.46546123118713995,0.4712163345172686,0.2383267107336399,0.22497854334793993,0.3361582143668115,0.3443267565129591,0.4107292187286414
"[Education] Mean years of schooling, male (years)",0.4035041217683505,0.4102759814268861,0.24186832922221793,0.2939453475653504,0.582998991479923,0.3331814401754428,0.26630165946234596
[Education] Population with at least some secondary education (% ages 25 and older),0.18533871709961033,0.49106470870060875,0.23019209671641278,0.31115905390124055,0.2191800636436475,0.21104336304474478,0.672920441537534
"[Education] Population with at least some secondary education, female (% ages 25 and older)",0.2091719117209576,0.4402697389573933,0.3618139330262401,0.30780289586118836,0.44720413533306963,0.3483425687082371,0.3830211163461463
"[Education] Population with at least some secondary education, male (% ages 25 and older)",0.38706174953414973,0.24512261906282537,0.2700807490711989,0.3178273637105556,0.4269867904337644,0.33531986712536954,0.3684836454969982
[Education] Primary school dropout rate (% of primary school cohort),0.1602278790902767,0.24407080848863671,0.2255319592559437,0.2740875074838915,0.30549960906618334,0.16731591051924116,0.4907895461321904
[Education] Primary school teachers trained to teach (%),0.14008294655487744,0.10152924758560751,0.1111224893840086,0.1069466336204497,0.1331226828114232,0.101000459225463,0.18434778494769813
"[Education] Pupil-teacher ratio, primary school (number of pupils per teacher)",0.13148420424754317,0.16380010953597132,0.30215009864252185,0.17521713687718138,0.1490635518134178,0.2660938043920744,0.2024550190205834
[Education] Survival rate to the last grade of lower secondary general education (%),0.15151115185990496,0.06718790875439368,0.12727133978895463,0.232518573579382,0.21075897062843846,0.08973508287561405,0.3861726984082002
[Environmental Sustainability] Fresh water withdrawals (% of total renewable water resources),0.37835187811668314,0.5009614123603797,0.1997160656361246,0.5170027667601116,0.4142376299595762,0.550952007135517,0.6526064968584289
"[Gender] Adolescent birth rate (births per 1,000 women ages 15-19)",0.20437860523755524,0.10835720416617203,0.12109219427025864,0.2043082399501381,0.276950896124543,0.20706182609477342,0.24990963986850295
"[Gender] Antenatal care coverage, at least one visit (%)",0.3395331080553029,0.24095833551981385,0.17817818171908414,0.3590925308895748,0.44494646790816267,0.26359247310121914,0.9350993020851761
"[Gender] Contraceptive prevalence, any method (% of married or in-union women of reproductive age, 15–49 years)",0.135809046901593,0.19028466883903036,0.1775130654543905,0.2836230498324189,0.23569400805080354,0.20226852888680252,0.27129363559557773
"[Gender] Estimated gross national income per capita, female (2011 PPP$)",1.5776070755334797,1.5077752427579942,1.4641438403292326,2.1748657275399355,1.5368538923467505,2.3526661159237774,2.6601937723805085
"[Gender] Estimated gross national income per capita, male (2011 PPP$)",0.5481288786549369,0.6013927875952495,0.476736402357991,0.5965155041764683,0.35554405431991093,0.5149622698671307,0.5419356920822042
[Gender] Female share of employment in senior and middle management (%),0.35728684969393937,0.12661859404208448,0.09662892922680681,0.18663948604881994,0.13224983355682302,0.3305592808939156,0.22583827935718548
[Gender] Gender Development Index (GDI),0.2970026637560222,0.1295444990259998,0.39756438755690776,0.2891968558408242,0.18427967585447902,0.34927871489309004,0.2955648860773437
[Gender] Gender Inequality Index (GII),0.13188291451085857,0.18207133033831807,0.2390303813795768,0.18441195726055784,0.192481802042989,0.17107390510054152,0.3782998943973053
"[Gender] Human Development Index (HDI), female",0.6174548180054998,0.46656587130212823,0.3656023434113871,0.34751805421274684,0.25562157975516353,0.3594513372678252,0.3053386382108443
"[Gender] Human Development Index (HDI), male",0.1886016609173815,0.3184633448618802,0.34348785332005155,0.7425036064930239,0.4271644085977392,0.43384506700421055,0.7040969298702144
[Gender] Proportion of births attended by skilled health personnel (%),0.12063708551328906,0.27550194195502203,0.30105663643401004,0.3057167139808409,0.23444868777769584,0.19960227320018945,0.17115142137329786
"[Gender] Share of employment in nonagriculture, female (% of total employment in nonagriculture)",0.2744963826114952,0.36782398450201687,0.39492715018993785,0.36391875612610886,0.47380556750737274,0.31958296329196273,0.3038568531342896
[Gender] Share of seats in parliament (% held by women),0.16576657892428243,0.28072618671806,0.1961901523523093,0.15277669636231883,0.19890728291089832,0.20719522508281632,0.33437033147449025
[Gender] Total unemployment rate (female to male ratio),0.3296309491752956,0.12140309839525251,0.3584799181597414,0.542854636571899,0.660666034067025,0.28826379525054907,0.45812418136165234
"[Gender] Unmet need for family planning (% of married or in-union women of reproductive age, 15–49 years)",0.1924706159534701,0.3535160368685332,0.15230697786366842,0.34705520816344293,0.1807324214764177,0.21797233324018506,0.3462541465348875
[Gender] Youth unemployment rate (female to male ratio),0.19047259833064126,0.19730616438165874,0.13644911659625175,0.184286718275592,0.23985343187285318,0.11306850096151848,0.24893636141476527
"[Health] HIV prevalence, adult (% ages 15-49), total",0.21212698394218577,0.39472996321062914,0.3061643024603886,0.3471425520232008,0.3786769454403395,0.17150582202188114,0.165148726859567
"[Health] Infants lacking immunization, DTP (% of one-year-olds)",0.32189488489525725,0.0649802518472444,0.22840661563575515,0.48132828407288836,0.21302781743397053,0.3098405020648044,0.16267796926907752
"[Health] Infants lacking immunization, measles (% of one-year-olds)",0.059716669032358366,0.2518572164580666,0.1566163956284665,0.25802911730962974,0.27937297517267334,0.16132616434521,0.22762745349503374
[Health] Life expectancy Index,0.9211229899724962,0.782879336357974,0.5956139753625161,0.5171089370329127,0.8995866657677116,0.44191256842828663,0.8560208322719567
[Health] Life expectancy at birth (years),0.8549149090063364,0.6108784270990666,0.5405304633460141,0.5342384673985956,0.567661839351677,0.5478259882541535,0.38389220159369447
"[Health] Life expectancy at birth, female (years)",0.3837186866711535,0.6914728611717476,0.37227747548835877,0.43197427632213103,0.38779127619538684,0.44163380838532307,0.5075701096101273
"[Health] Life expectancy at birth, male (years)",0.4201540427220659,0.6095148774431406,0.3968707896806743,0.6498779393496226,0.33312475583113466,1.2134351744541219,1.0388844887789386
"[Health] Mortality rate, female adult (per 1,000 people)",0.314654135035614,0.28329352367020294,0.2979146041502996,0.29797987328147946,0.2791555807502627,0.2349603356968616,0.3963763623915162
"[Health] Mortality rate, infant (per 1,000 live births)",0.5053309788729725,0.4577798334210518,0.3617490900135899,0.5763892317129047,0.38028654051208266,0.6990677126555697,0.6728449383857378
"[Health] Mortality rate, male adult (per 1,000 people)",0.427491569008409,0.45687083228452086,0.9526570552063587,0.8657823443266992,0.4553328931225653,0.294554369825574,0.528951043992701
"[Health] Mortality rate, under-five (per 1,000 live births)",0.31727277366753603,0.33677709962633845,0.3496991639325314,0.5944671622524856,0.17055252442302044,0.37102761874847584,0.7495229820986283
"[Health] Tuberculosis incidence (per 100,000 people)",0.1657657213425398,0.1294434821347328,0.0705930105251293,0.11739443772165131,0.11005120785513389,0.17367835921864805,0.16563754896700528
"[Human Security] Homicide rate (per 100,000 people)",0.2183521211687694,0.05442833827351046,0.22626884430572117,0.13269211832518382,0.29163323064071844,0.2004998319195448,0.17364142650367542
[Income_composition of resources] Domestic credit provided by financial sector (% of GDP),0.16727709617801678,0.41003420085333653,0.3163392939433434,0.26190890753476465,0.36123643217320334,0.3224341378908257,0.5630683229199579
[Income_composition of resources] Gross domestic product (GDP) per capita (2011 PPP $),0.7358157469268563,0.6332655493688202,0.25150196213285436,0.4847055944006211,0.1753641144501844,0.3848168158777632,0.6007100075073185
"[Income_composition of resources] Gross domestic product (GDP), total (2011 PPP $ billions)",0.46147608408816465,0.178457709941384,0.35579559188376947,0.5255163655663366,0.37582071186508575,0.7027675178889639,0.47129437865679463
[Income_composition of resources] Gross fixed capital formation (% of GDP),0.3819734215976569,0.2857070276149537,0.22546860533309712,0.3826747257669027,0.27933681869319055,0.3745070157713519,0.5936721979911609
[Income_composition of resources] Gross national income (GNI) per capita (2011 PPP$),1.2372622442233572,2.001380476850064,1.809736971869342,1.339669440640877,1.510731375721496,1.523478384947141,1.7694890962907994
[Income_composition of resources] Income Index,0.2205157588603986,0.13527706356268424,0.5292854776334242,0.4869849338863944,0.22122889512938926,0.3527660156300281,0.2815246977076722
[Inequality] Coefficient of Human Inequality,0.41800482287680285,0.38777823316217525,0.348140113322575,0.3004663028046364,0.547884369846064,0.32165361830754374,0.4915503561549412
[Inequality] Inequality in education (%),0.5034607438710385,0.3445053515257932,0.32920405356893817,0.21530589656268748,0.30233531811485864,0.21517027048338433,0.34857214456839536
[Inequality] Inequality in income (%),0.14845579733055506,0.14307138411755088,0.22636772373446828,0.11933947287934861,0.1679099683761889,0.1873089823376649,0.42646080294459343
[Inequality] Inequality in life expectancy (%),0.30782635098804506,0.43628783348209665,0.23672923411479244,0.2936518847717105,0.39995717913768164,0.316139777895937,0.433124689589012
[Inequality] Inequality-adjusted HDI (IHDI),0.14807340739757904,0.3229114543871942,0.3892449566074626,0.3093791147245283,0.39092386177367,0.4322187856772389,0.5645771232046981
[Inequality] Inequality-adjusted education index,0.5190951212832173,0.48061339058805536,0.5313441516825586,0.511334882499329,0.30855502135672314,0.3819692576303524,0.3758182038523195
[Inequality] Inequality-adjusted income index,0.5475801084754528,0.3207856569915445,0.37542990745827315,0.3801987817507478,0.33515677864341487,0.338162239466909,0.3049004651475983
[Inequality] Inequality-adjusted life expectancy index,0.3598351052385861,0.2755757544059913,0.36650007504124443,0.45288841854938966,0.476529388110041,0.5652020895139948,0.6769211680151036
[Inequality] Overall loss in HDI due to inequality (%),0.27248010668259537,0.171205198582534,0.3999443181724213,0.4635903325541184,0.3804366207078942,0.3090774679687849,0.5582498810285367
[Mobility and communication] International inbound tourists (thousands),0.1878939675797315,0.12118812862425717,0.19378754946359086,0.28516609748808996,0.2478824757653455,0.37553276060258944,0.34154524825081356
[Mobility and communication] International student mobility (% of total tertiary enrolment),0.490197723395809,0.2483725052760796,0.18952276398159112,0.3450782783426225,0.25782037164267874,0.23784765752386172,0.4149960117464042
"[Mobility and communication] Internet users, total (% of population)",0.19182917569606828,0.09678992945676887,0.15024371050250684,0.17491146402244565,0.14829280928267383,0.2222349236582187,0.18108213993034278
[Mobility and communication] Mobile phone subscriptions (per 100 people),0.07280610470518177,0.08764899319410581,0.14825810661216304,0.12975845344535153,0.2462955354207811,0.2760568557801072,0.3916000771438696
[Socio-economic sustainability] Adjusted net savings (% of GNI),0.12568631250280243,0.1566114119448627,0.11138207448024597,0.10786383623774519,0.08901136850048337,0.11211248541279108,0.17717730845507304
[Socio-economic sustainability] Concentration index (exports) (value),0.19360899039903592,0.1738445349855528,0.1052161508715157,0.12493095352547079,0.31885861186311976,0.14564601954000006,0.39952890077706416
[Socio-economic sustainability] Gross capital formation (% of GDP),0.4572135530367232,0.18162203068394556,0.21748851833303529,0.435111174417249,0.41717719870480974,0.36289345484425184,0.5344437900698498
[Socio-economic sustainability] Rural population with access to electricity (%),0.1321789038073601,0.32789076858781385,0.13786063373035648,0.17510716790075476,0.34590396186095773,0.15257472822314042,0.2722721998796763
[Socio-economic sustainability] Skilled labour force (% of labour force),0.19231624253455237,0.39257390295370076,0.1281438596386018,0.1489582676960158,0.16736114039542016,0.1333670507040603,0.20176101546683264
"[Socio-economic sustainability] Total debt service (% of exports of goods, services and primary income)",0.11794666867803127,0.05142610413283852,0.13120416680007957,0.11559014564371997,0.23740575238379483,0.1523982187246375,0.18730484593524224
[Trade and financial flows] Exports and imports (% of GDP),0.2484245109886915,0.09523832543329784,0.11646038868058668,0.1722893818203693,0.1434545195272881,0.22731422426589892,0.4583064515697784
"[Trade and financial flows] Foreign direct investment, net inflows (% of GDP)",0.1734113747287932,0.07141572627391335,0.2931851760051779,0.12899808684569242,0.2949925615837327,0.4736827372115188,0.2746501629312355
[Trade and financial flows] Net official development assistance received (% of GNI),0.651645446710665,0.2895557211626901,0.3378797705240957,0.2570441165812926,0.5474292245088661,0.5967043027031568,0.556055461303781
[Trade and financial flows] Private capital flows (% of GDP),0.11040666858019088,0.08097860391078313,0.156357156910239,0.29417839903839105,0.18027630471737188,0.22860569342199463,0.2461253783430914
"[Trade and financial flows] Remittances, inflows (% of GDP)",0.10770004639242955,0.3931431771717727,0.1296209346310595,0.11497120453295082,0.15719448296987562,0.26242543289437276,0.16384075478794727
"[Work, employment and vulnerability] Employment in agriculture (% of total employment)",0.21443759648244667,0.3023463071202588,0.18915742505192878,0.25951782152170516,0.2955741595574998,0.22962761286166272,0.3483439002983747
"[Work, employment and vulnerability] Employment in services (% of total employment)",0.320887207182857,0.12462009754045919,0.20424301982120316,0.2023644621583242,0.2514240790473653,0.22139975567655493,0.26971418067004344
"[Work, employment and vulnerability] Employment to population ratio (% ages 15 and older)",0.3372349060710527,0.3534867061427182,0.295627707045313,0.26196800241756435,0.28320281897951644,0.5991404754602221,0.45060946903265175
"[Work, employment and vulnerability] Labour force participation rate (% ages 15 and older)",0.2699532723688061,0.229838537608811,0.3722199282927424,0.30573670732472014,0.3264910455058103,0.47091297100840784,0.33771156733487245
"[Work, employment and vulnerability] Labour force participation rate (% ages 15 and older), female",0.3778745556122509,0.4620620344023581,0.46568368281318123,0.46189489283614316,0.21731627777010287,0.39733946951327537,0.7473931724412872
"[Work, employment and vulnerability] Labour force participation rate (% ages 15 and older), male",0.3425243839254839,0.12832996152175957,0.2885447267413042,0.2684298668807694,0.39770933248366463,0.25829902956138395,0.19674476450834072
"[Work, employment and vulnerability] Unemployment, total (% of labour force)",0.2695223923018207,0.11995854199910856,0.2587760418182501,0.1810079405558078,0.340281195800251,0.3166344549957819,0.3654407574186038
"[Work, employment and vulnerability] Unemployment, youth (% ages 15–24)",0.3839495006178346,0.1530086276529333,0.32271277059634024,0.12526373499167212,0.3203474152268836,0.3001870147983411,0.36519520775513653
"[Work, employment and vulnerability] Vulnerable employment (% of total employment)",0.2977161202316658,0.29893402379368733,0.11583731807393388,0.233970659291046,0.11101187836470247,0.2458802077925575,0.43323003334519944
"[Work, employment and vulnerability] Youth not in school or employment (% ages 15-24)",0.09548065358212217,0.2037378905305774,0.09885277750000057,0.16087326561652662,0.2829134065498369,0.21516356455145808,0.16867646381837692
