,2010,2011,2012,2013,2014,2015,2016
"[Education] Gross enrolment ratio, pre-primary (% of preschool-age children)",0.006603818790606539,0.005973893231621595,0.006844023580054047,0.006978738767411489,0.020453811260550306,0.014145785586309093,0.025893800520667514
"[Education] Gross enrolment ratio, primary (% of primary school-age population)",0.00657638108414514,0.00539007347919533,0.007923294116217169,0.02597528420188977,0.01696559459718903,0.014663490703945658,0.06639608888929259
"[Education] Gross enrolment ratio, secondary (% of secondary school-age population)",0.015363697108693692,0.011868615615847695,0.026838125481190224,0.015615002498052682,0.01244931295638942,0.03988497018069196,0.013039395236684449
"[Education] Gross enrolment ratio, tertiary (% of tertiary school-age population)",0.017289111056529284,0.013267310325788192,0.007301464278176283,0.013457243927378895,0.010374925999931674,0.00756234899271163,0.016744045759538008
"[Education] Literacy rate, adult (% ages 15 and older)",0.02261422903099753,0.025960290215517344,0.010449271010963785,0.04866759298853871,0.05564696110582655,0.06057184273940489,0.11044562869714336
[Education] Mean years of schooling (years),0.08963074197583185,0.07873414441030262,0.1319447525892143,0.11631616586411923,0.14602740168287337,0.1494304795417737,0.17283821424371046
"[Education] Mean years of schooling, female (years)",0.04154720791858937,0.04904369673476429,0.019637039048516804,0.045615807428230584,0.10693139329045502,0.030084702113291263,0.07807505512750938
"[Education] Mean years of schooling, male (years)",0.03786150470281604,0.04666273662057128,0.024051635439882292,0.03132867528111255,0.0977629723313515,0.09361671037348432,0.07158949737537962
[Education] Population with at least some secondary education (% ages 25 and older),0.019901295587641844,0.0612747588216518,0.0345291939668538,0.0702520380907478,0.037529173093209876,0.032266696496728246,0.14897571969523865
"[Education] Population with at least some secondary education, female (% ages 25 and older)",0.018690179180586183,0.07724478750792303,0.0284302415608964,0.027847606204949176,0.047177701572002295,0.07494576106994001,0.10058270454909994
"[Education] Population with at least some secondary education, male (% ages 25 and older)",0.05534676778443355,0.0695084699607028,0.06010503216413465,0.061366553569922114,0.06345618597768801,0.07510668512459472,0.09342366876938983
[Education] Primary school dropout rate (% of primary school cohort),0.01657455184237818,0.04078331734957812,0.02258305116114237,0.03778097985015188,0.025557745029487367,0.014841534373594123,0.15842694490135995
[Education] Primary school teachers trained to teach (%),0.007135315262442278,0.016308702879631848,0.006997809111633044,0.008572367685487598,0.007672867056793835,0.0048054265012132565,0.01274732903983022
"[Education] Pupil-teacher ratio, primary school (number of pupils per teacher)",0.014601002659028538,0.023396947775631362,0.015453356875351187,0.012468557270538052,0.01932466146884145,0.017612888161111215,0.021755304020827794
[Education] Survival rate to the last grade of lower secondary general education (%),0.012628836659852422,0.011488860975887914,0.008088427027010044,0.01758509275466989,0.012431948372522308,0.005742675240996663,0.15243457449574688
[Environmental Sustainability] Fresh water withdrawals (% of total renewable water resources),0.03706579275080494,0.269768068464851,0.016274019287022195,0.10745892895911216,0.08859789763532383,0.11049714856987744,0.19172546941777058
"[Gender] Adolescent birth rate (births per 1,000 women ages 15-19)",0.01658589927634343,0.015137409690525207,0.022699024927982432,0.013568128244593816,0.038574466629056454,0.021838102378263117,0.032980365381700835
"[Gender] Antenatal care coverage, at least one visit (%)",0.03623792757234144,0.023656142386089502,0.019816158129071927,0.042208957086187174,0.05213660893516836,0.02522865860464809,0.17135067457753367
"[Gender] Contraceptive prevalence, any method (% of married or in-union women of reproductive age, 15–49 years)",0.027664656755329392,0.05117135323927061,0.021504343926345024,0.040054485081161405,0.05312392365622178,0.02931609622056087,0.05465964319220765
"[Gender] Estimated gross national income per capita, female (2011 PPP$)",0.1140719029008713,0.06420900242936314,0.06866457294122133,0.07659383917276644,0.13773737712265316,0.18019702413506217,0.13213396370760358
"[Gender] Estimated gross national income per capita, male (2011 PPP$)",0.13142709514663328,0.1270130438230098,0.1393919462422375,0.12798596105348084,0.06375844496183161,0.25535180560779774,0.1539212527821476
[Gender] Female share of employment in senior and middle management (%),0.029453110039494683,0.007246306279044347,0.005464621895721603,0.029820185849709552,0.019012905261543638,0.030749741149438476,0.019483134015255314
[Gender] Gender Development Index (GDI),0.02444564567793927,0.02753036867393051,0.02089440569607559,0.050003404381417094,0.019622545345420673,0.033083244695884514,0.025115612325042606
[Gender] Gender Inequality Index (GII),0.02133599608867245,0.03045641129809511,0.017091910819265393,0.02697797687595116,0.018043685431650604,0.01410940728575844,0.061570046957449866
"[Gender] Human Development Index (HDI), female",0.11869774992396906,0.05677337450152341,0.10184347043680733,0.04419808703707489,0.07338693534024826,0.09197617662322877,0.07930206955172513
"[Gender] Human Development Index (HDI), male",0.03186527955248063,0.06331944863510867,0.09731731633724991,0.19528381657908617,0.12798809063813826,0.15797201624525536,0.19955846792326476
[Gender] Proportion of births attended by skilled health personnel (%),0.014542214343793403,0.030786186007926337,0.023386478584278936,0.018775492538301887,0.019127862795557404,0.029201990212517716,0.02098775638791922
"[Gender] Share of employment in nonagriculture, female (% of total employment in nonagriculture)",0.0257385222253518,0.027707422951670113,0.039224307950428194,0.04178466196211221,0.034074185725929504,0.020535257259374634,0.04814054715622472
[Gender] Share of seats in parliament (% held by women),0.007504547811099796,0.01092668374162297,0.013147594298721078,0.010265324409402815,0.014137477380874041,0.02155675518218328,0.02826116497462732
[Gender] Total unemployment rate (female to male ratio),0.033837526391107375,0.03515938750956755,0.04118250198829561,0.11295844038851706,0.026980238666472357,0.07051541927918666,0.08428352093374548
"[Gender] Unmet need for family planning (% of married or in-union women of reproductive age, 15–49 years)",0.020124915450169978,0.0601940584730191,0.017850102499975866,0.04926889644402547,0.0443979160300902,0.02902098554078149,0.04906274594080999
[Gender] Youth unemployment rate (female to male ratio),0.016531496679174452,0.024373662406786453,0.005453926066140315,0.022105564143368346,0.015161165862853146,0.013792593455651331,0.018927010330804406
"[Health] HIV prevalence, adult (% ages 15-49), total",0.013873375912445357,0.02745050624631551,0.022234460014253235,0.03349013015277913,0.036480625522806745,0.00851609438113685,0.011770863416177798
"[Health] Infants lacking immunization, DTP (% of one-year-olds)",0.03327028056792329,0.012460118672480768,0.02620818838197837,0.0519975996401418,0.03271444675298154,0.02136041188823614,0.01110944305618864
"[Health] Infants lacking immunization, measles (% of one-year-olds)",0.007181493624688326,0.019442956492561128,0.01535766336741301,0.04693132746059269,0.03434489628750683,0.0236181343114588,0.030540916884203184
[Health] Life expectancy Index,0.14865066841483485,0.1614719915110958,0.1109218203955363,0.12291599027261428,0.25919527182646895,0.07013147342607694,0.1538760902837639
[Health] Life expectancy at birth (years),0.07382336850159626,0.11272458931438964,0.16640193752000032,0.22629950003472227,0.2243888624813545,0.12656700957258515,0.05549281623666136
"[Health] Life expectancy at birth, female (years)",0.056257526266992444,0.07133253566747463,0.06609620876336121,0.08982411486818381,0.06090909963696506,0.12048785454225919,0.14612774054311198
"[Health] Life expectancy at birth, male (years)",0.04527830763730666,0.19066279685647355,0.11443564105749522,0.13320755820832986,0.05904472804084286,0.34193656387224874,0.11789459520751067
"[Health] Mortality rate, female adult (per 1,000 people)",0.06254240315096474,0.06488132934829546,0.058905289534221104,0.028516439541799297,0.03483359425936533,0.031621644408349824,0.08264712035802682
"[Health] Mortality rate, infant (per 1,000 live births)",0.05822758702810045,0.09345655035557655,0.1115938243565191,0.15469398000426127,0.11715386819473358,0.15875505767140055,0.12248523231791682
"[Health] Mortality rate, male adult (per 1,000 people)",0.05124484486616737,0.08795071154437172,0.08735658141132956,0.11192294121308702,0.0812740900576569,0.0598426198831742,0.07144739838890526
"[Health] Mortality rate, under-five (per 1,000 live births)",0.0764117291588253,0.11132654428751285,0.05156110004444525,0.12231583710238277,0.07837858896110533,0.10576453708448771,0.17865042696321742
"[Health] Tuberculosis incidence (per 100,000 people)",0.011088502468185159,0.022889274716785712,0.003042795954600855,0.011213317041964297,0.020581956575750748,0.01417432555522936,0.014293302396313184
"[Human Security] Homicide rate (per 100,000 people)",0.027283111255160176,0.021725114724569183,0.011661495695472224,0.005358865056157914,0.02722048504672845,0.025053243902342155,0.016589081597253537
[Income_composition of resources] Domestic credit provided by financial sector (% of GDP),0.014775866620280496,0.029170348942324658,0.017012379830447705,0.023672155971008173,0.03732526001434177,0.024133392266434277,0.05718999754527236
[Income_composition of resources] Gross domestic product (GDP) per capita (2011 PPP $),0.09479392895756569,0.09966396248903002,0.02807772408149859,0.1418106762155028,0.06677719359122808,0.07002895050747945,0.2014588264590103
"[Income_composition of resources] Gross domestic product (GDP), total (2011 PPP $ billions)",0.061211094726679446,0.08730742287345761,0.05718295201714084,0.07179728177619507,0.09478926285918073,0.12561721984917695,0.0988617455732415
[Income_composition of resources] Gross fixed capital formation (% of GDP),0.026894811509337833,0.047730509279289846,0.046113212282541234,0.07011327597521447,0.02407401996327741,0.07332279672182174,0.09147203868388099
[Income_composition of resources] Gross national income (GNI) per capita (2011 PPP$),0.07825358635338976,0.07034218308755144,0.10106767184086422,0.14545732980722614,0.09461435723067349,0.08447554432416611,0.09872347588981445
[Income_composition of resources] Income Index,0.019874258324543623,0.07404750778175069,0.1278005824590815,0.08833690738196952,0.04571755867936349,0.08073536757160825,0.08757880868157267
[Inequality] Coefficient of Human Inequality,0.06261648269452535,0.06904197359640434,0.04759562217287819,0.05989832220328996,0.10210847228407458,0.06373526095041374,0.14583150410579804
[Inequality] Inequality in education (%),0.06788154774279982,0.0315586118716414,0.04610989766627573,0.02876439171343991,0.04338320164523237,0.03571022497191387,0.03514939876006089
[Inequality] Inequality in income (%),0.006313244990679609,0.015512536841795918,0.016787747252739696,0.01039886349421552,0.02096868358942675,0.017438615391431583,0.06174251336135093
[Inequality] Inequality in life expectancy (%),0.04207774619509495,0.06398791152836322,0.023114699048789943,0.023311906928621444,0.0595699822584377,0.052917825674548315,0.09004972626631703
[Inequality] Inequality-adjusted HDI (IHDI),0.08121050688139403,0.07341828487613802,0.06394962407832307,0.04502417089050554,0.09903907610048322,0.07442907900248621,0.1452042458231875
[Inequality] Inequality-adjusted education index,0.12152105597416799,0.11022750335244062,0.12361787129517912,0.06797213165362373,0.06317294567706053,0.04083685254931638,0.0868365378722439
[Inequality] Inequality-adjusted income index,0.07297236753542723,0.10512750120883127,0.04527908796742101,0.059513576132222634,0.046183953616970426,0.07821230294865492,0.0786787854018736
[Inequality] Inequality-adjusted life expectancy index,0.08186291454020878,0.046792535755538975,0.07526079549393566,0.10698739542257643,0.060550197510324574,0.17075421516534947,0.17647778516661178
[Inequality] Overall loss in HDI due to inequality (%),0.08552338885706542,0.07443790119835947,0.054487596291148674,0.11183934039864703,0.1086722904498102,0.0376758907536273,0.18601250287999072
[Mobility and communication] International inbound tourists (thousands),0.01486598015897086,0.009269770565417565,0.013377821877981876,0.021934965986683697,0.013608788016647843,0.0336177915784021,0.05823667908857488
[Mobility and communication] International student mobility (% of total tertiary enrolment),0.07442508763683799,0.03006420029591515,0.018185466203610466,0.03411768516490196,0.025775695453096503,0.031850394060019514,0.047077846672718394
"[Mobility and communication] Internet users, total (% of population)",0.01400790775418664,0.027164297063718684,0.023559297851660048,0.020748137289031136,0.018054890678376186,0.027134295946169902,0.03494031287558757
[Mobility and communication] Mobile phone subscriptions (per 100 people),0.00540933029559848,0.008956347889547031,0.006093577477356481,0.007168295480063066,0.021325340578581133,0.028139767466283938,0.04071607647750985
[Socio-economic sustainability] Adjusted net savings (% of GNI),0.010732414373854804,0.013354727660606188,0.005135199033427353,0.00775852310136398,0.005881628514744954,0.013696572178527062,0.017057205277539837
[Socio-economic sustainability] Concentration index (exports) (value),0.010659085780180478,0.00679481937946351,0.009037327061593712,0.005264753505321096,0.016348860221669266,0.009713650344274327,0.01965490070734648
[Socio-economic sustainability] Gross capital formation (% of GDP),0.021511007105102252,0.06290056851369505,0.032798345904540616,0.05062206113977136,0.02059564032102314,0.07426958509138644,0.07452894619111132
[Socio-economic sustainability] Rural population with access to electricity (%),0.010676507808362795,0.016312539379736608,0.007364088918456388,0.024248442300543717,0.037538694023208315,0.011774529132054418,0.03745571666654473
[Socio-economic sustainability] Skilled labour force (% of labour force),0.012013705211773905,0.024175362659649723,0.006701340238046737,0.011871558690618615,0.012692320084950031,0.027275577663834073,0.02608064722357693
"[Socio-economic sustainability] Total debt service (% of exports of goods, services and primary income)",0.0038314208518778056,0.010401127172780095,0.007594000120972648,0.020532313406246356,0.010807555610604248,0.007854904159520332,0.025342524829192754
[Trade and financial flows] Exports and imports (% of GDP),0.021329447185119196,0.008486558030268446,0.00655900473754287,0.007999283440164075,0.003710751916329362,0.024947037881473014,0.04419931147179155
"[Trade and financial flows] Foreign direct investment, net inflows (% of GDP)",0.015919495553449924,0.008767616954801653,0.017138768884825985,0.008312818978249748,0.027594130648542776,0.04591645633008644,0.03704200083612556
[Trade and financial flows] Net official development assistance received (% of GNI),0.025747680986053255,0.027807916863015904,0.03528317406169838,0.030642081364833162,0.02690524951579939,0.07459885682942663,0.05483711276077028
[Trade and financial flows] Private capital flows (% of GDP),0.012953907302375426,0.019394486431627438,0.011269981128962894,0.017235446343164033,0.007792047228270075,0.06275061549992127,0.04661533761802313
"[Trade and financial flows] Remittances, inflows (% of GDP)",0.007458028507309873,0.018263923109040008,0.014659508617611648,0.014067107512897123,0.009733270846258489,0.04090563883577411,0.007251214001990332
"[Work, employment and vulnerability] Employment in agriculture (% of total employment)",0.03374853644312921,0.03145350696864877,0.018646996252174985,0.03316942458171255,0.0582298249408464,0.057768245464200875,0.03414490483608479
"[Work, employment and vulnerability] Employment in services (% of total employment)",0.03136218815433971,0.03309376205116253,0.014270808072367386,0.041389820237504496,0.03858903242921148,0.02873431119859206,0.032088337790039424
"[Work, employment and vulnerability] Employment to population ratio (% ages 15 and older)",0.0519493592522845,0.06565056885684442,0.0325118956895228,0.056962439369413975,0.0742114386716661,0.10659721673267926,0.11151113625596673
"[Work, employment and vulnerability] Labour force participation rate (% ages 15 and older)",0.06519914849058979,0.0660753525475554,0.0632387775727352,0.058617953828938786,0.05136794081792763,0.11116993887421076,0.05673092494261709
"[Work, employment and vulnerability] Labour force participation rate (% ages 15 and older), female",0.08356447975678424,0.056231361906603494,0.09732244371144963,0.1410300726278768,0.08652072972316924,0.12863412176955,0.18993588985154708
"[Work, employment and vulnerability] Labour force participation rate (% ages 15 and older), male",0.044274968844652304,0.015725781246520482,0.02770068017384327,0.037815049525770784,0.04596084975763459,0.049904106147487734,0.013869714703501786
"[Work, employment and vulnerability] Unemployment, total (% of labour force)",0.03048965554447185,0.03431683029907588,0.04547601821859689,0.011623147506170535,0.03188408492307745,0.03734073890238129,0.0829919781315537
"[Work, employment and vulnerability] Unemployment, youth (% ages 15–24)",0.032979222507715386,0.02440773812758832,0.026408974380450857,0.01577536573048062,0.03060839772804059,0.023749187161856512,0.06289919650937018
"[Work, employment and vulnerability] Vulnerable employment (% of total employment)",0.01675624298619236,0.025577659204903798,0.01122015802572314,0.027206356274970873,0.022766564405069446,0.046890979922546594,0.05595304637263965
"[Work, employment and vulnerability] Youth not in school or employment (% ages 15-24)",0.00223583480527538,0.008276734760594668,0.005659148446626584,0.015177421807242844,0.018152413670793153,0.04635215193134629,0.01667399225128834
