,2010,2011,2012,2013,2014,2015,2016
[Mobility and communication] International student mobility (% of total tertiary enrolment),1.5273088168577207,0.7235442233924779,0.6984096903922338,0.8468209418573758,0.5263678768461294,0.3940924824164831,1.250855689986536
"[Mobility and communication] Internet users, total (% of population)",0.5695692559067116,0.3621502274074338,0.6484569227804811,0.5810407478266062,0.5519869412292926,0.5015341379984858,0.5166410518829625
[Mobility and communication] Mobile phone subscriptions (per 100 people),0.37831660141624696,0.5116860196958567,0.35413447168248546,0.34750983595332335,0.7947592817038326,0.7041182355927292,0.7673315327857269
[Socio-economic sustainability] Adjusted net savings (% of GNI),0.368137313306272,0.4739898513118872,0.4317471645719022,0.30993447998479373,0.3860182674479174,0.39012350396720163,0.37213279732098553
[Socio-economic sustainability] Concentration index (exports) (value),0.6753130700983478,0.46221049599724123,0.34825922869467085,0.25310448473495906,0.7747376086490146,0.33160529039267833,0.9746012258000014
[Socio-economic sustainability] Gross capital formation (% of GDP),1.6134485236246006,0.5787543515407327,1.017515740112562,1.225408644026071,1.172838383974209,1.5209883640317627,1.221375640406372
[Socio-economic sustainability] Rural population with access to electricity (%),0.5672200301728298,0.6600016699353423,0.4588082733801872,0.5714602611470426,0.9155819985184924,0.42945497893804435,0.7814466274904475
[Socio-economic sustainability] Skilled labour force (% of labour force),0.33151118053039724,0.634313241444058,0.34395234250946727,0.4203812465705845,0.48646839129987896,0.2319959528707359,0.7308978435955371
"[Socio-economic sustainability] Total debt service (% of exports of goods, services and primary income)",0.30930273107051565,0.43727256617413846,0.25963522065142214,0.36501768381671246,0.4157825734868338,0.2858181577605886,0.5108291359755527
[Trade and financial flows] Exports and imports (% of GDP),0.3899243709488888,0.45968781306517215,0.3068136407090156,0.32267125464804397,0.28138620364062206,0.6494153680651508,0.9116490088008236
"[Trade and financial flows] Foreign direct investment, net inflows (% of GDP)",0.603466771013314,0.3274023906110153,0.7659179048365705,0.3017745558915168,0.7285001183353395,1.4315797376484005,0.47668894062720263
[Trade and financial flows] Net official development assistance received (% of GNI),1.4815186237980271,0.8018590216163419,1.0100651991917076,0.6602433452198009,1.6405062149814706,1.531414715319233,1.306470880714667
[Trade and financial flows] Private capital flows (% of GDP),0.5220068258092968,0.648836036670491,0.549592815882469,0.6832823707208155,0.3800263826327495,0.7545483991806785,0.5647378731937536
"[Trade and financial flows] Remittances, inflows (% of GDP)",0.396601217966214,0.5123277694127465,0.3286291491942567,0.4443630857952718,0.40532395343121197,0.6736436263113612,0.34984093320160115
"[Work, employment and vulnerability] Employment in agriculture (% of total employment)",0.6403706189053663,0.9437658181737835,0.6560340046886046,0.7572394052754463,0.50279303950255,0.8802063105508545,0.782157785565179
"[Work, employment and vulnerability] Employment in services (% of total employment)",0.5650435259293961,0.763522627509182,0.6706005464034447,0.6061576899278784,0.45879818135004574,0.8704140691626373,0.5392223834355702
"[Work, employment and vulnerability] Employment to population ratio (% ages 15 and older)",1.10014801747088,1.25414086960991,0.9511881623901297,0.7073658493077221,0.6059770388568362,1.8236960411167853,1.2399595021040624
"[Work, employment and vulnerability] Labour force participation rate (% ages 15 and older)",1.2204737544852127,1.3479073618781425,1.0247292127854393,0.8801245817323969,0.8466853442496736,1.4717774858478685,0.9266203706523318
"[Work, employment and vulnerability] Labour force participation rate (% ages 15 and older), female",1.1820675650647037,1.283175522989911,1.1411811625690589,1.5525587200478446,0.8905899655601759,1.7564678749857496,1.7263886312163048
"[Work, employment and vulnerability] Labour force participation rate (% ages 15 and older), male",0.8360887889090272,0.8379097416330398,1.0153091527125182,0.7336842900832888,0.7886747476155342,0.694806745469801,0.47095663239883345
"[Work, employment and vulnerability] Unemployment, total (% of labour force)",1.0436802210312675,0.5249682436442771,1.0371981851760348,0.4393722911095848,0.5807387953509597,0.8803112895124537,1.090557103295224
"[Work, employment and vulnerability] Unemployment, youth (% ages 15–24)",1.279518639805848,0.7403046521016757,1.1444985739126432,0.5629386223813686,0.6485613767968321,0.7003893162402155,0.7212106646095695
"[Work, employment and vulnerability] Vulnerable employment (% of total employment)",0.5915613818910607,0.7026000025402735,0.3983960854618903,0.7045478305739374,0.47567940263353603,0.6821063114107846,0.9893456537084875
"[Work, employment and vulnerability] Youth not in school or employment (% ages 15-24)",0.3192731369838138,0.4859152807531397,0.2911162680741906,0.5211825604624425,0.35698904912983526,0.6277581298059169,0.388013531984845
