PAN,,,,,,,,,,,,
PNG,,,,,,,,,,,,
PRY,,,,,,,,,,,,
PER,,,,,,,,,,,,
PHL,,,,,,,,,,,,
POL,,,,,,,,,,,,
PRT,,,,,,,,,,,,
QAT,,,,,,,,,,,,
ROU,,,,,,,,,,,,
RUS,,,,,,,,,,,,
RWA,,,,,,,,,,,,
KNA,,,,,,,,,,,,
LCA,,,,,,,,,,,,
VCT,,,,,,,,,,,,
WSM,,,,,,,,,,,,
SMR,,,,,,,,,,,,
STP,,,,,,,,,,,,
SAU,,,,,,,,,,,,
SEN,,,,,,,,,,,,
SRB,,,,,,,,,,,,
SYC,,,,,,,,,,,,
SLE,,,,,,,,,,,,
SGP,,,,,,,,,,,,
SVK,,,,,,,,,,,,
SVN,,,,,,,,,,,,
SLB,,,,,,,,,,,,
SOM,,,,,,,,,,,,
ZAF,,,,,,,,,,,,
SSD,,,,,,,,,,,,
ESP,,,,,,,,,,,,
LKA,,,,,,,,,,,,
SDN,,,,,,,,,,,,
SUR,,,,,,,,,,,,
SWZ,,,,,,,,,,,,
SWE,,,,,,,,,,,,
CHE,,,,,,,,,,,,
SYR,,,,,,,,,,,,
TJK,,,,,,,,,,,,
TZA,,,,,,,,,,,,
THA,,,,,,,,,,,,
MKD,,,,,,,,,,,,
TLS,,,,,,,,,,,,
TGO,,,,,,,,,,,,
TON,,,,,,,,,,,,
TTO,,,,,,,,,,,,
TUN,,,,,,,,,,,,
TUR,,,,,,,,,,,,
TKM,,,,,,,,,,,,
TUV,,,,,,,,,,,,
UGA,,,,,,,,,,,,
UKR,,,,,,,,,,,,
ARE,,,,,,,,,,,,
GBR,,,,,,,,,,,,
USA,,,,,,,,,,,,
URY,,,,,,,,,,,,
UZB,,,,,,,,,,,,
VUT,,,,,,,,,,,,
VEN,,,,,,,,,,,,
VNM,,,,,,,,,,,,
YEM,,,,,,,,,,,,
ZMB,,,,,,,,,,,,
ZWE,,,,,,,,,,,,
