[Dimension] Attribute,Mean,Variance
"[Gender] Adolescent birth rate (births per 1,000 women ages 15-19)",57.43031531531532,2172.027148549225
"[Gender] Antenatal care coverage, at least one visit (%)",85.82176470588236,281.87605570934255
"[Gender] Child marriage, women married by age 18 (% of women ages 20–24 years who are married or in union)",23.4,219.93599999999998
"[Gender] Contraceptive prevalence, any method (% of married or in-union women of reproductive age, 15–49 years)",47.297474747474745,518.723832006938
"[Gender] Estimated gross national income per capita, female (2011 PPP$)",11156.865128205129,163840058.89309165
"[Gender] Estimated gross national income per capita, male (2011 PPP$)",20544.35948717949,528786037.2989741
[Gender] Female share of employment in senior and middle management (%),30.634513274336282,69.57903007283264
"[Gender] Female share of graduates in science, mathematics, engineering, manufacturing and construction at tertiary level (%)",13.997169811320758,47.923671235315055
[Gender] Gender Development Index (GDI),0.9258987119437939,0.007269977445647702
[Gender] Gender Inequality Index (GII),0.38344934742075826,0.03759584469969844
"[Gender] Human Development Index (HDI), female",0.6622023391812866,0.03128818478984987
"[Gender] Human Development Index (HDI), male",0.7065980105324752,0.023089477374625987
[Gender] Mandatory paid maternity leave (days),107.2247191011236,4398.286579977275
"[Gender] Maternal mortality ratio (deaths per 100,000 live births)",224.5445054945055,103343.64032695326
[Gender] Proportion of births attended by skilled health personnel (%),87.82948593598448,440.12787936716404
"[Gender] Share of employment in nonagriculture, female (% of total employment in nonagriculture)",38.74115740740741,133.79280143818588
[Gender] Share of seats in parliament (% held by women),17.6290546802595,123.73808538996653
[Gender] Total unemployment rate (female to male ratio),1.4032962962962963,1.1042333936899862
"[Gender] Unmet need for family planning (% of married or in-union women of reproductive age, 15–49 years)",20.009999999999998,85.14773333333332
"[Gender] Violence against women ever experienced, intimate partner (% of female population ages 15 and older)",28.371962616822426,187.62612979299502
"[Gender] Violence against women ever experienced, nonintimate partner (% of female population ages 15 and older)",7.541071428571428,59.9645631377551
[Gender] Women with account at financial institution or with mobile money-service provider (% of female population ages 15 and older),50.15349887133183,996.7308399023689
[Gender] Youth unemployment rate (female to male ratio),1.0894675925925925,0.04361328135716735
"[Health] Child malnutrition, stunting (moderate or severe) (% under age 5)",22.83560606060606,176.48835342056935
[Health] Current health expenditure (% of GDP),6.407573726541555,8.313273737861985
"[Health] HIV prevalence, adult (% ages 15-49), total",2.0480662983425413,20.252965874057566
"[Health] Infants lacking immunization, DTP (% of one-year-olds)",7.815662120545534,120.23042781720572
"[Health] Infants lacking immunization, measles (% of one-year-olds)",14.63920704845815,243.0500046575715
[Health] Life expectancy Index,0.738322550486163,0.021974620157144985
[Health] Life expectancy at birth (years),67.98956619296933,92.853844015252
"[Health] Life expectancy at birth, female (years)",71.77788288288289,91.77639822051782
"[Health] Life expectancy at birth, male (years)",66.91022522522523,77.10364769702134
"[Health] Malaria incidence (per 1,000 people at risk)",130.7862626262626,40487.711245627994
"[Health] Mortality rate, female adult (per 1,000 people)",155.54522357723576,11004.286572714242
"[Health] Mortality rate, infant (per 1,000 live births)",31.12826189354687,864.532267680823
"[Health] Mortality rate, male adult (per 1,000 people)",224.52439024390245,12104.535990481858
"[Health] Mortality rate, under-five (per 1,000 live births)",43.705416862929816,2273.7967723533097
"[Health] Tuberculosis incidence (per 100,000 people)",128.8528735632184,30859.542215880567
[Human Security] Birth registration (% under age 5),83.69822485207101,577.2639613458913
[Human Security] Homeless people due to natural disaster (average annual per million people),187.9787234042553,460884.7761430512
"[Human Security] Homicide rate (per 100,000 people)",7.997649034424854,146.41201798261665
"[Human Security] Prison population (per 100,000 people)",165.33333333333334,16525.48148148148
[Human Security] Refugees by country of origin (thousands),101.06282722513089,286551.9795082371
"[Human Security] Suicide rate, female (per 100,000 people)",5.675546448087432,13.14206595822509
"[Human Security] Suicide rate, male (per 100,000 people)",17.50068306010929,129.770668932336
[Income_composition of resources] Domestic credit provided by financial sector (% of GDP),64.29397905759163,3378.953215057153
[Income_composition of resources] Gross domestic product (GDP) per capita (2011 PPP $),16320.57390510949,352389168.00001246
"[Income_composition of resources] Gross domestic product (GDP), total (2011 PPP $ billions)",479.6138229927007,2834139.4332258953
[Income_composition of resources] Gross fixed capital formation (% of GDP),23.001415836392237,104.808099725874
[Income_composition of resources] Gross national income (GNI) per capita (2011 PPP$),15055.57153642884,344984330.01385194
[Income_composition of resources] Income Index,0.6541170252925632,0.033859118430411214
[Inequality] Coefficient of Human Inequality,20.755333911535125,108.42108386508592
"[Inequality] Income inequality, Gini coefficient",38.17142857142857,65.72320964749537
"[Inequality] Income inequality, Palma ratio",1.8941558441558441,0.9800307809074043
"[Inequality] Income inequality, quintile ratio",7.9071428571428575,17.65871521335807
[Inequality] Inequality in education (%),20.391544715447154,216.4693431423095
[Inequality] Inequality in income (%),24.08081494057725,114.64005638171227
[Inequality] Inequality in life expectancy (%),17.49263085399449,163.8948561640067
[Inequality] Inequality-adjusted HDI (IHDI),0.5591864700780572,0.036368746668632455
[Inequality] Inequality-adjusted education index,0.5287342600163533,0.05058888686386371
[Inequality] Inequality-adjusted income index,0.5142351443123939,0.029419857270819576
[Inequality] Inequality-adjusted life expectancy index,0.6626232782369147,0.03643117144159476
[Inequality] Overall loss in HDI due to inequality (%),21.20832610581093,113.60029494309124
[Mobility and communication] International inbound tourists (thousands),5272.8,130433224.27054128
[Mobility and communication] International student mobility (% of total tertiary enrolment),-7.361232349165596,1499.6766485455007
"[Mobility and communication] Internet users, female (% of female population)",64.95172413793104,572.1960602457391
"[Mobility and communication] Internet users, total (% of population)",35.379351032448376,861.7626296673367
[Mobility and communication] Mobile phone subscriptions (per 100 people),83.53679628554846,2335.9714608911763
"[Mobility and communication] Net migration rate (per 1,000 people)",-0.5121621621621621,109.3089962259557
[Socio-economic sustainability] Adjusted net savings (% of GNI),6.6027853260869565,213.93570555717596
[Socio-economic sustainability] Concentration index (exports) (value),0.3442939416604338,0.04858850970899585
[Socio-economic sustainability] Gross capital formation (% of GDP),24.071553949406297,95.80552536015091
"[Socio-economic sustainability] Income quintile ratio, average annual change (%)",-0.4024193548387096,6.872816727367325
"[Socio-economic sustainability] Overall loss in HDI value due to inequality, average annual change (%)",-1.187121212121212,5.4330917125803495
[Socio-economic sustainability] Population using improved drinking-water sources (%),83.55564304461943,389.4770613319005
[Socio-economic sustainability] Population using improved sanitation facilities (%),70.97657894736842,938.4540830332409
[Socio-economic sustainability] Ratio of education and health expenditure to military expenditure,9.215020297699594,68.81085693463535
[Socio-economic sustainability] Research and development expenditure (% of GDP),1.0074542897327707,0.9352608892607825
[Socio-economic sustainability] Rural population with access to electricity (%),71.83938030984508,1323.9218774770534
[Socio-economic sustainability] Skilled labour force (% of labour force),63.70511049723757,627.4220871424866
"[Socio-economic sustainability] Total debt service (% of exports of goods, services and primary income)",13.307317073170731,156.30304990871608
[Trade and financial flows] Exports and imports (% of GDP),89.52197590361446,3006.725425493395
"[Trade and financial flows] Foreign direct investment, net inflows (% of GDP)",5.047030651340997,175.75721340519075
[Trade and financial flows] Net official development assistance received (% of GNI),7.214469235970251,117.76207596913471
[Trade and financial flows] Private capital flows (% of GDP),-4.164709141274238,579.8167545552903
"[Trade and financial flows] Remittances, inflows (% of GDP)",4.55304347826087,62.68103131695023
"[Work, employment and vulnerability] Child labour (% ages 5-17)",16.55138888888889,159.5322202932099
"[Work, employment and vulnerability] Employment in agriculture (% of total employment)",30.58125,679.378486400463
"[Work, employment and vulnerability] Employment in services (% of total employment)",49.57990740740741,427.7469296210562
"[Work, employment and vulnerability] Employment to population ratio (% ages 15 and older)",57.497592592592596,135.01388309327845
"[Work, employment and vulnerability] Labour force participation rate (% ages 15 and older)",62.52583333333333,111.39361041666666
"[Work, employment and vulnerability] Labour force participation rate (% ages 15 and older), female",50.88981481481481,263.87822959533605
"[Work, employment and vulnerability] Labour force participation rate (% ages 15 and older), male",73.88305555555557,77.90986103395062
"[Work, employment and vulnerability] Old-age pension recipients (% of statutory pension age population)",53.73028571428571,1419.7288542040817
"[Work, employment and vulnerability] Unemployment, total (% of labour force)",8.411805555555556,39.48030044367284
"[Work, employment and vulnerability] Unemployment, youth (% ages 15–24)",17.838148148148154,161.4273317558299
"[Work, employment and vulnerability] Vulnerable employment (% of total employment)",39.03791666666666,730.3515484375
"[Work, employment and vulnerability] Youth not in school or employment (% ages 15-24)",16.77699530516432,79.56512023628468
