"Forest area, change (%)"
"HDI Rank","Country","1990/2015"
"124"," Nicaragua","-31.0"
"189"," Niger","-41.3"
"157"," Nigeria","-59.4"
"1"," Norway","-0.2"
"48"," Oman","0.0"
"150"," Pakistan","-41.7"
"119"," Palestine, State of","1.0"
"66"," Panama","-8.4"
"153"," Papua New Guinea","-0.2"
"110"," Paraguay","-27.6"
"89"," Peru","-5.1"
"113"," Philippines","22.7"
"33"," Poland","6.3"
"41"," Portugal","-7.5"
"37"," Qatar","0.0"
"52"," Romania","7.3"
"49"," Russian Federation","0.8"
"158"," Rwanda","50.9"
"72"," Saint Kitts and Nevis","0.0"
"90"," Saint Lucia","-6.9"
"99"," Saint Vincent and the Grenadines","8.0"
"104"," Samoa","31.5"
"n.a"," San Marino","0.0"
"143"," Sao Tome and Principe","-4.3"
"39"," Saudi Arabia","0.0"
"164"," Senegal","-11.5"
"67"," Serbia","9.9"
"62"," Seychelles","0.0"
"184"," Sierra Leone","-2.4"
"9"," Singapore","-5.5"
"38"," Slovakia","1.0"
"25"," Slovenia","5.1"
"152"," Solomon Islands","-6.0"
"n.a"," Somalia","-23.2"
"113"," South Africa","0.0"
"26"," Spain","33.2"
"76"," Sri Lanka","-9.4"
"167"," Sudan","-37.5"
"100"," Suriname","-0.6"
"7"," Sweden","0.8"
"2"," Switzerland","9.0"
"155"," Syrian Arab Republic","32.1"
"127"," Tajikistan","1.8"
"154"," Tanzania (United Republic of)","-17.6"
"83"," Thailand","17.1"
"80"," The former Yugoslav Republic of Macedonia","10.3"
"132"," Timor-Leste","-29.0"
"165"," Togo","-72.6"
"98"," Tonga","0.0"
"69"," Trinidad and Tobago","-2.6"
"95"," Tunisia","61.9"
"64"," Turkey","21.8"
"108"," Turkmenistan","0.0"
"n.a"," Tuvalu","0.0"
"162"," Uganda","-56.4"
"88"," Ukraine","4.1"
"34"," United Arab Emirates","31.7"
"14"," United Kingdom","13.2"
"13"," United States","2.7"
"55"," Uruguay","131.3"
"105"," Uzbekistan","5.7"
"138"," Vanuatu","0.0"
"78"," Venezuela (Bolivarian Republic of)","-10.3"
"116"," Viet Nam","65.6"
"178"," Yemen","0.0"
"144"," Zambia","-7.9"
"156"," Zimbabwe","-36.6"
""
